time.time(), c1pp, c2pp, c1rms, c2rms
1727870365.2653303, 2.029E+00, 2.008E+01, 6.891E-01, 6.987E+00 
1727870365.3765852, 2.037E+00, 2.007E+01, 6.890E-01, 6.989E+00 
1727870365.492158, 2.029E+00, 2.009E+01, 6.889E-01, 6.989E+00 
1727870365.6051579, 2.033E+00, 2.009E+01, 6.892E-01, 6.988E+00 
1727870365.7229095, 2.035E+00, 2.006E+01, 6.889E-01, 6.988E+00 
1727870365.839302, 2.031E+00, 2.009E+01, 6.889E-01, 6.988E+00 
1727870365.9567657, 2.035E+00, 2.008E+01, 6.887E-01, 6.987E+00 
1727870366.0783744, 2.029E+00, 2.006E+01, 6.889E-01, 6.986E+00 
1727870366.1941612, 2.035E+00, 2.008E+01, 6.888E-01, 6.985E+00 
1727870366.31184, 2.032E+00, 2.008E+01, 6.891E-01, 6.989E+00 
1727870366.4323146, 2.032E+00, 2.005E+01, 6.890E-01, 6.990E+00 
1727870366.5458899, 2.031E+00, 2.008E+01, 6.890E-01, 6.985E+00 
1727870366.662944, 2.032E+00, 2.007E+01, 6.888E-01, 6.986E+00 
1727870366.7797952, 2.031E+00, 2.005E+01, 6.891E-01, 6.987E+00 
1727870366.8949084, 2.033E+00, 2.007E+01, 6.892E-01, 6.985E+00 
1727870367.0110662, 2.033E+00, 2.004E+01, 6.892E-01, 6.986E+00 
1727870367.13898, 2.027E+00, 2.007E+01, 6.891E-01, 6.988E+00 
1727870367.2543333, 2.030E+00, 2.008E+01, 6.890E-01, 6.988E+00 
1727870367.3675327, 2.031E+00, 2.009E+01, 6.891E-01, 6.986E+00 
1727870367.4798286, 2.036E+00, 2.006E+01, 6.892E-01, 6.986E+00 
1727870367.5920882, 2.030E+00, 2.008E+01, 6.889E-01, 6.986E+00 
1727870367.7131894, 2.035E+00, 2.007E+01, 6.889E-01, 6.989E+00 
1727870367.8296533, 2.026E+00, 2.007E+01, 6.890E-01, 6.986E+00 
1727870367.947504, 2.028E+00, 2.008E+01, 6.889E-01, 6.987E+00 
1727870368.0596323, 2.026E+00, 2.007E+01, 6.892E-01, 6.987E+00 
1727870368.1750565, 2.032E+00, 2.006E+01, 6.889E-01, 6.987E+00 
1727870368.2923236, 2.029E+00, 2.007E+01, 6.889E-01, 6.988E+00 
1727870368.409615, 2.028E+00, 2.005E+01, 6.888E-01, 6.988E+00 
1727870368.5244367, 2.035E+00, 2.009E+01, 6.892E-01, 6.987E+00 
1727870368.641169, 2.030E+00, 2.007E+01, 6.890E-01, 6.986E+00 
1727870368.7614548, 2.042E+00, 2.006E+01, 6.890E-01, 6.987E+00 
1727870368.8781023, 2.037E+00, 2.006E+01, 6.891E-01, 6.987E+00 
1727870368.9952247, 2.026E+00, 2.012E+01, 6.888E-01, 6.988E+00 
1727870369.1120472, 2.035E+00, 2.006E+01, 6.888E-01, 6.987E+00 
1727870369.231305, 2.047E+00, 2.009E+01, 6.891E-01, 6.987E+00 
1727870369.3477094, 2.035E+00, 2.008E+01, 6.891E-01, 6.986E+00 
1727870369.4704678, 2.036E+00, 2.009E+01, 6.890E-01, 6.988E+00 
1727870369.587002, 2.028E+00, 2.006E+01, 6.888E-01, 6.988E+00 
1727870369.7021596, 2.029E+00, 2.005E+01, 6.888E-01, 6.989E+00 
1727870369.8179836, 2.033E+00, 2.008E+01, 6.890E-01, 6.990E+00 
1727870369.941266, 2.035E+00, 2.010E+01, 6.889E-01, 6.987E+00 
1727870370.0550268, 2.026E+00, 2.008E+01, 6.890E-01, 6.988E+00 
1727870370.1738088, 2.023E+00, 2.006E+01, 6.890E-01, 6.989E+00 
1727870370.289969, 2.039E+00, 2.008E+01, 6.889E-01, 6.988E+00 
1727870370.4063964, 2.024E+00, 2.007E+01, 6.889E-01, 6.989E+00 
1727870370.5211632, 2.026E+00, 2.007E+01, 6.888E-01, 6.989E+00 
1727870370.6340134, 2.022E+00, 2.007E+01, 6.888E-01, 6.989E+00 
1727870370.7486076, 2.033E+00, 2.007E+01, 6.889E-01, 6.990E+00 
1727870370.8735342, 2.044E+00, 2.010E+01, 6.889E-01, 6.987E+00 
1727870370.9878793, 2.029E+00, 2.004E+01, 6.892E-01, 6.987E+00 
1727870371.1081595, 2.031E+00, 2.004E+01, 6.887E-01, 6.987E+00 
1727870371.220866, 2.033E+00, 2.006E+01, 6.887E-01, 6.986E+00 
1727870371.335583, 2.032E+00, 2.009E+01, 6.889E-01, 6.989E+00 
1727870371.4502463, 2.035E+00, 2.009E+01, 6.891E-01, 6.986E+00 
1727870371.5672126, 2.028E+00, 2.009E+01, 6.890E-01, 6.987E+00 
1727870371.6797442, 2.029E+00, 2.007E+01, 6.889E-01, 6.989E+00 
1727870371.7986069, 2.025E+00, 2.005E+01, 6.886E-01, 6.986E+00 
1727870371.9128504, 2.031E+00, 2.004E+01, 6.892E-01, 6.987E+00 
1727870372.027878, 2.032E+00, 2.008E+01, 6.889E-01, 6.987E+00 
1727870372.1439056, 2.030E+00, 2.008E+01, 6.890E-01, 6.986E+00 
1727870372.2573605, 2.028E+00, 2.008E+01, 6.891E-01, 6.985E+00 
1727870372.3755612, 2.026E+00, 2.007E+01, 6.890E-01, 6.987E+00 
1727870372.4885645, 2.031E+00, 2.005E+01, 6.889E-01, 6.989E+00 
1727870372.6056838, 2.028E+00, 2.008E+01, 6.890E-01, 6.986E+00 
1727870372.7293978, 2.026E+00, 2.007E+01, 6.891E-01, 6.987E+00 
1727870372.841211, 2.030E+00, 2.008E+01, 6.888E-01, 6.988E+00 
1727870372.957229, 2.035E+00, 2.006E+01, 6.890E-01, 6.987E+00 
1727870373.07291, 2.025E+00, 2.007E+01, 6.889E-01, 6.987E+00 
1727870373.1859424, 2.033E+00, 2.004E+01, 6.892E-01, 6.986E+00 
1727870373.3161857, 2.026E+00, 2.006E+01, 6.888E-01, 6.987E+00 
1727870373.432731, 2.028E+00, 2.006E+01, 6.893E-01, 6.985E+00 
1727870373.5452936, 2.025E+00, 2.008E+01, 6.889E-01, 6.987E+00 
1727870373.6597133, 2.036E+00, 2.010E+01, 6.892E-01, 6.988E+00 
1727870373.7719307, 2.024E+00, 2.005E+01, 6.892E-01, 6.989E+00 
1727870373.8978477, 2.028E+00, 2.007E+01, 6.890E-01, 6.986E+00 
