time.time(), c1pp, c2pp
1727768408.7357557, 2.015E+00, 2.002E+01
1727768408.8440216, 2.024E+00, 2.001E+01
1727768408.951484, 2.010E+00, 1.999E+01
1727768409.058434, 2.017E+00, 2.011E+01
1727768409.1660714, 2.023E+00, 1.997E+01
1727768409.275833, 2.017E+00, 2.006E+01
1727768409.3833663, 2.019E+00, 2.006E+01
1727768409.4899156, 2.016E+00, 1.995E+01
1727768409.5971887, 2.016E+00, 1.998E+01
1727768409.7070432, 2.016E+00, 1.999E+01
1727768409.8150008, 2.007E+00, 2.005E+01
1727768409.9246955, 2.023E+00, 2.004E+01
1727768410.0296118, 2.013E+00, 2.002E+01
1727768410.1378675, 2.010E+00, 2.002E+01
1727768410.2480843, 2.010E+00, 1.998E+01
1727768410.3558047, 2.013E+00, 2.001E+01
1727768410.4649105, 2.015E+00, 2.005E+01
1727768410.5741005, 2.018E+00, 2.004E+01
1727768410.6808991, 2.015E+00, 2.007E+01
1727768410.7907333, 2.017E+00, 2.010E+01
1727768410.9071686, 2.010E+00, 2.007E+01
1727768411.0080495, 2.011E+00, 2.003E+01
1727768411.1215475, 2.030E+00, 2.001E+01
1727768411.2293332, 2.029E+00, 2.002E+01
1727768411.3482127, 2.018E+00, 2.007E+01
1727768411.4594543, 2.024E+00, 1.997E+01
1727768411.5677574, 2.020E+00, 2.001E+01
1727768411.675344, 2.016E+00, 2.003E+01
1727768411.783238, 2.011E+00, 1.998E+01
1727768411.891683, 2.018E+00, 1.998E+01
1727768411.9987924, 2.022E+00, 1.999E+01
1727768412.1073673, 2.025E+00, 2.005E+01
1727768412.2143521, 2.005E+00, 2.000E+01
1727768412.3243701, 2.013E+00, 2.001E+01
1727768412.4328814, 2.011E+00, 2.006E+01
1727768412.5401194, 2.017E+00, 2.006E+01
1727768412.6475375, 2.019E+00, 2.001E+01
1727768412.752734, 2.017E+00, 1.996E+01
1727768412.858318, 2.015E+00, 2.000E+01
1727768412.9663498, 2.008E+00, 1.997E+01
1727768413.0762627, 2.016E+00, 2.004E+01
1727768413.1873434, 2.010E+00, 2.001E+01
1727768413.2938044, 2.015E+00, 2.005E+01
1727768413.402262, 2.013E+00, 2.003E+01
1727768413.5034428, 2.020E+00, 2.001E+01
1727768413.6121676, 2.017E+00, 1.997E+01
1727768413.7268705, 2.018E+00, 2.004E+01
1727768413.8273606, 2.026E+00, 2.007E+01
1727768413.942561, 2.015E+00, 2.003E+01
1727768414.0479028, 2.015E+00, 2.000E+01
1727768414.156505, 2.018E+00, 2.005E+01
1727768414.2645848, 2.010E+00, 2.000E+01
1727768414.3736913, 2.019E+00, 2.002E+01
1727768414.4748569, 2.018E+00, 1.998E+01
1727768414.5833204, 2.006E+00, 2.006E+01
1727768414.691304, 2.018E+00, 1.994E+01
1727768414.7987907, 2.026E+00, 2.001E+01
1727768414.9129202, 2.013E+00, 2.004E+01
1727768415.020986, 2.019E+00, 2.005E+01
1727768415.1384017, 2.015E+00, 2.009E+01
1727768415.238959, 2.019E+00, 2.004E+01
1727768415.3608081, 2.023E+00, 2.005E+01
1727768415.4798036, 2.006E+00, 2.005E+01
1727768415.5900614, 2.019E+00, 2.005E+01
1727768415.6996875, 2.008E+00, 2.001E+01
1727768415.8086069, 2.011E+00, 2.000E+01
1727768415.926469, 2.012E+00, 2.000E+01
1727768416.0329459, 2.022E+00, 2.004E+01
1727768416.1496117, 2.022E+00, 2.000E+01
1727768416.256433, 2.017E+00, 2.005E+01
1727768416.356885, 2.013E+00, 2.002E+01
1727768416.4760745, 2.019E+00, 2.000E+01
1727768416.585459, 2.022E+00, 1.999E+01
1727768416.6933482, 2.007E+00, 2.002E+01
1727768416.799564, 2.018E+00, 2.002E+01
1727768416.9071934, 2.032E+00, 2.006E+01
1727768417.0149195, 2.009E+00, 2.001E+01
1727768417.1262324, 2.018E+00, 1.995E+01
1727768417.2342603, 2.018E+00, 1.996E+01
1727768417.3412235, 2.020E+00, 2.004E+01
1727768417.4506507, 2.025E+00, 1.997E+01
1727768417.5583694, 2.012E+00, 2.000E+01
1727768417.6677444, 2.015E+00, 2.008E+01
1727768417.7759163, 2.015E+00, 1.996E+01
1727768417.8828187, 2.015E+00, 1.999E+01
1727768417.991277, 2.026E+00, 2.002E+01
1727768418.0976126, 2.011E+00, 2.002E+01
1727768418.2068777, 2.017E+00, 1.994E+01
1727768418.3143892, 2.011E+00, 2.002E+01
1727768418.4247084, 2.004E+00, 1.999E+01
1727768418.532031, 2.010E+00, 1.999E+01
1727768418.638907, 2.015E+00, 1.994E+01
1727768418.752927, 2.011E+00, 2.005E+01
1727768418.8636217, 2.009E+00, 1.997E+01
1727768418.9703426, 2.013E+00, 2.005E+01
1727768419.0774672, 2.018E+00, 2.004E+01
1727768419.1860461, 2.016E+00, 2.006E+01
1727768419.2940469, 2.009E+00, 2.005E+01
