time.time() c1rms c3rms c1pp c3pp
1725454792.3040683 8.6449E-01 1.4082E+00 2.4911E+00 4.0063E+00
1725454792.5121174 8.6451E-01 1.4082E+00 2.4934E+00 4.0131E+00
1725454792.7141864 8.6447E-01 1.4083E+00 2.4911E+00 4.0113E+00
1725454792.9186025 8.6447E-01 1.4083E+00 2.4865E+00 4.0113E+00
1725454793.119411 8.6448E-01 1.4083E+00 2.4899E+00 4.0079E+00
1725454793.3252003 8.6445E-01 1.4083E+00 2.4888E+00 4.0131E+00
1725454793.520801 8.6446E-01 1.4083E+00 2.4911E+00 4.0113E+00
1725454793.7275274 8.6448E-01 1.4082E+00 2.4899E+00 4.0079E+00
1725454793.9286942 8.6445E-01 1.4082E+00 2.4933E+00 4.0096E+00
1725454794.1237977 8.6450E-01 1.4082E+00 2.4877E+00 4.0147E+00
1725454794.3232238 8.6449E-01 1.4083E+00 2.4899E+00 4.0131E+00
1725454794.5324712 8.6450E-01 1.4083E+00 2.4923E+00 4.0131E+00
1725454794.7400389 8.6448E-01 1.4083E+00 2.4899E+00 4.0096E+00
1725454794.944272 8.6447E-01 1.4082E+00 2.4888E+00 4.0131E+00
1725454795.1592598 8.6451E-01 1.4083E+00 2.4911E+00 4.0131E+00
1725454795.3627276 8.6445E-01 1.4084E+00 2.4888E+00 4.0096E+00
1725454795.5680172 8.6448E-01 1.4083E+00 2.4877E+00 4.0062E+00
1725454795.7694397 8.6444E-01 1.4083E+00 2.4888E+00 4.0096E+00
1725454795.968451 8.6450E-01 1.4083E+00 2.4877E+00 4.0096E+00
1725454796.1732857 8.6445E-01 1.4083E+00 2.4911E+00 4.0114E+00
1725454796.381323 8.6445E-01 1.4083E+00 2.4899E+00 4.0147E+00
1725454796.5825377 8.6442E-01 1.4082E+00 2.4923E+00 4.0131E+00
1725454796.7927349 8.6449E-01 1.4083E+00 2.4945E+00 4.0079E+00
1725454796.9929657 8.6450E-01 1.4082E+00 2.4911E+00 4.0096E+00
1725454797.2054226 8.6446E-01 1.4082E+00 2.4899E+00 4.0079E+00
1725454797.4206097 8.6450E-01 1.4083E+00 2.4934E+00 4.0148E+00
1725454797.6301403 8.6446E-01 1.4083E+00 2.4899E+00 4.0096E+00
1725454797.8543298 8.6452E-01 1.4083E+00 2.4888E+00 4.0079E+00
1725454798.0716338 8.6452E-01 1.4083E+00 2.4888E+00 4.0148E+00
1725454798.2848594 8.6453E-01 1.4083E+00 2.4923E+00 4.0079E+00
1725454798.4920213 8.6442E-01 1.4082E+00 2.4922E+00 4.0129E+00
1725454798.696886 8.6451E-01 1.4083E+00 2.4911E+00 4.0079E+00
1725454798.8979492 8.6451E-01 1.4083E+00 2.4911E+00 4.0079E+00
1725454799.1015124 8.6451E-01 1.4083E+00 2.4899E+00 4.0131E+00
1725454799.316445 8.6445E-01 1.4083E+00 2.4899E+00 4.0131E+00
1725454799.5309734 8.6447E-01 1.4083E+00 2.4911E+00 4.0131E+00
1725454799.740026 8.6447E-01 1.4083E+00 2.4888E+00 4.0147E+00
1725454799.9427817 8.6445E-01 1.4082E+00 2.4911E+00 4.0131E+00
1725454800.1424696 8.6451E-01 1.4082E+00 2.4899E+00 4.0148E+00
1725454800.34823 8.6449E-01 1.4083E+00 2.4888E+00 4.0097E+00
1725454800.5450528 8.6450E-01 1.4083E+00 2.4923E+00 4.0079E+00
1725454800.7488234 8.6447E-01 1.4083E+00 2.4933E+00 4.0097E+00
1725454800.9581323 8.6445E-01 1.4083E+00 2.4933E+00 4.0079E+00
1725454801.160565 8.6448E-01 1.4083E+00 2.4888E+00 4.0097E+00
1725454801.360652 8.6446E-01 1.4083E+00 2.4911E+00 4.0096E+00
1725454801.5607421 8.6447E-01 1.4083E+00 2.4877E+00 4.0096E+00
1725454801.7656772 8.6446E-01 1.4083E+00 2.4911E+00 4.0131E+00
1725454801.967953 8.6445E-01 1.4082E+00 2.4922E+00 4.0113E+00
1725454802.1696615 8.6443E-01 1.4082E+00 2.4888E+00 4.0096E+00
1725454802.3721724 8.6446E-01 1.4083E+00 2.4911E+00 4.0113E+00
1725454802.573351 8.6446E-01 1.4082E+00 2.4934E+00 4.0164E+00
1725454802.7754247 8.6445E-01 1.4083E+00 2.4877E+00 4.0097E+00
1725454802.9730937 8.6448E-01 1.4083E+00 2.4911E+00 4.0096E+00
1725454803.172181 8.6442E-01 1.4082E+00 2.4934E+00 4.0114E+00
1725454803.3789847 8.6444E-01 1.4082E+00 2.4877E+00 4.0131E+00
1725454803.5838861 8.6443E-01 1.4082E+00 2.4945E+00 4.0096E+00
1725454803.7830346 8.6443E-01 1.4083E+00 2.4899E+00 4.0131E+00
1725454803.9873312 8.6448E-01 1.4083E+00 2.4934E+00 4.0147E+00
1725454804.1912026 8.6445E-01 1.4083E+00 2.4911E+00 4.0129E+00
1725454804.3931317 8.6444E-01 1.4082E+00 2.4888E+00 4.0097E+00
1725454804.5963736 8.6445E-01 1.4083E+00 2.4911E+00 4.0097E+00
1725454804.7986336 8.6443E-01 1.4082E+00 2.4888E+00 4.0114E+00
1725454805.0040352 8.6449E-01 1.4082E+00 2.4888E+00 4.0079E+00
1725454805.2123244 8.6446E-01 1.4083E+00 2.4899E+00 4.0096E+00
1725454805.4187145 8.6447E-01 1.4082E+00 2.4911E+00 4.0113E+00
1725454805.6194575 8.6448E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454805.817451 8.6445E-01 1.4082E+00 2.4877E+00 4.0114E+00
1725454806.0267456 8.6445E-01 1.4082E+00 2.4922E+00 4.0113E+00
1725454806.2385798 8.6442E-01 1.4082E+00 2.4899E+00 4.0114E+00
1725454806.4333365 8.6441E-01 1.4082E+00 2.4877E+00 4.0096E+00
1725454806.6438127 8.6445E-01 1.4081E+00 2.4865E+00 4.0131E+00
1725454806.843321 8.6443E-01 1.4082E+00 2.4911E+00 4.0114E+00
1725454807.042389 8.6440E-01 1.4081E+00 2.4911E+00 4.0147E+00
1725454807.248632 8.6446E-01 1.4082E+00 2.4888E+00 4.0147E+00
1725454807.4635038 8.6446E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454807.6643136 8.6442E-01 1.4082E+00 2.4899E+00 4.0131E+00
1725454807.873865 8.6441E-01 1.4081E+00 2.4945E+00 4.0096E+00
1725454808.083069 8.6442E-01 1.4082E+00 2.4911E+00 4.0131E+00
1725454808.291085 8.6451E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454808.495386 8.6445E-01 1.4082E+00 2.4911E+00 4.0062E+00
1725454808.6970742 8.6450E-01 1.4082E+00 2.4957E+00 4.0113E+00
1725454808.9055016 8.6447E-01 1.4082E+00 2.4888E+00 4.0113E+00
1725454809.1055586 8.6446E-01 1.4082E+00 2.4922E+00 4.0079E+00
1725454809.300755 8.6446E-01 1.4082E+00 2.4899E+00 4.0096E+00
1725454809.5090728 8.6454E-01 1.4082E+00 2.4911E+00 4.0096E+00
1725454809.709839 8.6450E-01 1.4082E+00 2.4911E+00 4.0131E+00
1725454809.9117837 8.6449E-01 1.4082E+00 2.4911E+00 4.0131E+00
1725454810.1069303 8.6450E-01 1.4082E+00 2.4923E+00 4.0114E+00
1725454810.3181207 8.6450E-01 1.4083E+00 2.4923E+00 4.0113E+00
1725454810.5294075 8.6445E-01 1.4082E+00 2.4900E+00 4.0181E+00
1725454810.7325976 8.6446E-01 1.4082E+00 2.4911E+00 4.0131E+00
1725454810.9327064 8.6446E-01 1.4082E+00 2.4911E+00 4.0129E+00
1725454811.1408634 8.6446E-01 1.4083E+00 2.4911E+00 4.0113E+00
1725454811.339153 8.6451E-01 1.4082E+00 2.4911E+00 4.0147E+00
1725454811.5403259 8.6450E-01 1.4082E+00 2.4934E+00 4.0113E+00
1725454811.7408383 8.6445E-01 1.4082E+00 2.4899E+00 4.0113E+00
1725454811.9516106 8.6443E-01 1.4083E+00 2.4900E+00 4.0131E+00
1725454812.1616058 8.6445E-01 1.4082E+00 2.4923E+00 4.0096E+00
1725454812.3667235 8.6453E-01 1.4082E+00 2.4911E+00 4.0113E+00
1725454812.5626085 8.6444E-01 1.4083E+00 2.4877E+00 4.0131E+00
1725454812.7598722 8.6447E-01 1.4082E+00 2.4854E+00 4.0114E+00
1725454812.9698203 8.6448E-01 1.4083E+00 2.4899E+00 4.0113E+00
1725454813.172378 8.6448E-01 1.4082E+00 2.4899E+00 4.0096E+00
1725454813.3746896 8.6445E-01 1.4082E+00 2.4911E+00 4.0113E+00
1725454813.584508 8.6449E-01 1.4082E+00 2.4888E+00 4.0062E+00
1725454813.7915971 8.6442E-01 1.4082E+00 2.4888E+00 4.0096E+00
1725454813.9909272 8.6443E-01 1.4082E+00 2.4877E+00 4.0129E+00
1725454814.200923 8.6441E-01 1.4083E+00 2.4899E+00 4.0097E+00
1725454814.4081101 8.6448E-01 1.4082E+00 2.4899E+00 4.0096E+00
1725454814.618266 8.6445E-01 1.4082E+00 2.4899E+00 4.0164E+00
1725454814.8282664 8.6442E-01 1.4081E+00 2.4934E+00 4.0113E+00
1725454815.0275085 8.6445E-01 1.4081E+00 2.4877E+00 4.0113E+00
1725454815.236728 8.6446E-01 1.4082E+00 2.4922E+00 4.0079E+00
1725454815.4447417 8.6445E-01 1.4082E+00 2.4899E+00 4.0113E+00
1725454815.6477523 8.6440E-01 1.4082E+00 2.4923E+00 4.0097E+00
1725454815.8559957 8.6443E-01 1.4082E+00 2.4877E+00 4.0096E+00
1725454816.0578516 8.6443E-01 1.4082E+00 2.4899E+00 4.0113E+00
1725454816.2692456 8.6441E-01 1.4082E+00 2.4877E+00 4.0131E+00
1725454816.4731894 8.6444E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454816.6732793 8.6442E-01 1.4082E+00 2.4923E+00 4.0148E+00
1725454816.8950398 8.6439E-01 1.4083E+00 2.4865E+00 4.0131E+00
1725454817.102295 8.6443E-01 1.4082E+00 2.4877E+00 4.0096E+00
1725454817.3144224 8.6440E-01 1.4082E+00 2.4911E+00 4.0062E+00
1725454817.5162966 8.6442E-01 1.4082E+00 2.4899E+00 4.0113E+00
1725454817.7249618 8.6442E-01 1.4082E+00 2.4923E+00 4.0131E+00
1725454817.9365175 8.6445E-01 1.4082E+00 2.4877E+00 4.0079E+00
1725454818.1421666 8.6441E-01 1.4081E+00 2.4877E+00 4.0097E+00
1725454818.35174 8.6439E-01 1.4081E+00 2.4899E+00 4.0079E+00
1725454818.5711565 8.6442E-01 1.4082E+00 2.4877E+00 4.0113E+00
1725454818.7672274 8.6439E-01 1.4082E+00 2.4899E+00 4.0147E+00
1725454818.9730725 8.6439E-01 1.4082E+00 2.4899E+00 4.0096E+00
1725454819.1726801 8.6440E-01 1.4081E+00 2.4911E+00 4.0079E+00
1725454819.3762374 8.6442E-01 1.4082E+00 2.4911E+00 4.0131E+00
1725454819.58758 8.6442E-01 1.4082E+00 2.4922E+00 4.0147E+00
1725454819.7997603 8.6442E-01 1.4082E+00 2.4922E+00 4.0097E+00
1725454819.996428 8.6446E-01 1.4082E+00 2.4911E+00 4.0096E+00
1725454820.2009928 8.6442E-01 1.4082E+00 2.4957E+00 4.0131E+00
1725454820.400987 8.6445E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454820.6018548 8.6444E-01 1.4082E+00 2.4945E+00 4.0096E+00
1725454820.804065 8.6441E-01 1.4082E+00 2.4877E+00 4.0129E+00
1725454821.0036786 8.6441E-01 1.4082E+00 2.4899E+00 4.0131E+00
1725454821.2099004 8.6439E-01 1.4082E+00 2.4899E+00 4.0079E+00
1725454821.4189022 8.6435E-01 1.4082E+00 2.4945E+00 4.0113E+00
1725454821.6282048 8.6442E-01 1.4082E+00 2.4899E+00 4.0113E+00
1725454821.824138 8.6443E-01 1.4082E+00 2.4899E+00 4.0147E+00
1725454822.0335932 8.6437E-01 1.4082E+00 2.4899E+00 4.0096E+00
1725454822.2298439 8.6442E-01 1.4082E+00 2.4888E+00 4.0096E+00
1725454822.432605 8.6441E-01 1.4082E+00 2.4877E+00 4.0131E+00
1725454822.6432412 8.6441E-01 1.4082E+00 2.4899E+00 4.0097E+00
1725454822.8542879 8.6446E-01 1.4082E+00 2.4865E+00 4.0062E+00
1725454823.053931 8.6436E-01 1.4081E+00 2.4911E+00 4.0079E+00
1725454823.2688172 8.6444E-01 1.4081E+00 2.4854E+00 4.0113E+00
1725454823.4707425 8.6435E-01 1.4082E+00 2.4899E+00 4.0096E+00
1725454823.6762795 8.6440E-01 1.4082E+00 2.4877E+00 4.0079E+00
1725454823.8744972 8.6436E-01 1.4082E+00 2.4888E+00 4.0096E+00
1725454824.076224 8.6443E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454824.2828846 8.6442E-01 1.4082E+00 2.4900E+00 4.0096E+00
1725454824.481811 8.6442E-01 1.4082E+00 2.4911E+00 4.0113E+00
1725454824.7421203 8.6441E-01 1.4083E+00 2.4911E+00 4.0198E+00
1725454824.94834 8.6445E-01 1.4082E+00 2.4888E+00 4.0113E+00
1725454825.1457543 8.6444E-01 1.4082E+00 2.4911E+00 4.0096E+00
1725454825.3533814 8.6445E-01 1.4082E+00 2.4911E+00 4.0045E+00
1725454825.5497649 8.6444E-01 1.4082E+00 2.4911E+00 4.0096E+00
1725454825.7554934 8.6444E-01 1.4082E+00 2.4877E+00 4.0113E+00
1725454825.9608052 8.6441E-01 1.4082E+00 2.4911E+00 4.0114E+00
1725454826.1654506 8.6439E-01 1.4082E+00 2.4899E+00 4.0148E+00
1725454826.3765574 8.6444E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454826.5779393 8.6442E-01 1.4082E+00 2.4933E+00 4.0096E+00
1725454826.7816162 8.6447E-01 1.4081E+00 2.4888E+00 4.0079E+00
1725454826.9909763 8.6447E-01 1.4082E+00 2.4899E+00 4.0129E+00
1725454827.1885264 8.6447E-01 1.4082E+00 2.4933E+00 4.0097E+00
1725454827.3832488 8.6440E-01 1.4083E+00 2.4957E+00 4.0113E+00
1725454827.5904272 8.6442E-01 1.4082E+00 2.4888E+00 4.0079E+00
1725454827.7922182 8.6441E-01 1.4082E+00 2.4888E+00 4.0079E+00
1725454828.0082917 8.6444E-01 1.4082E+00 2.4899E+00 4.0129E+00
1725454828.212136 8.6447E-01 1.4083E+00 2.4980E+00 4.0148E+00
1725454828.4189794 8.6440E-01 1.4082E+00 2.4888E+00 4.0164E+00
1725454828.6269765 8.6444E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454828.8474543 8.6442E-01 1.4083E+00 2.4922E+00 4.0114E+00
1725454829.0580764 8.6449E-01 1.4083E+00 2.4877E+00 4.0114E+00
1725454829.2623386 8.6441E-01 1.4082E+00 2.4899E+00 4.0114E+00
1725454829.4635487 8.6443E-01 1.4083E+00 2.4888E+00 4.0147E+00
1725454829.6639318 8.6441E-01 1.4083E+00 2.4899E+00 4.0164E+00
1725454829.8763561 8.6439E-01 1.4082E+00 2.4922E+00 4.0114E+00
1725454830.0815442 8.6447E-01 1.4082E+00 2.4899E+00 4.0181E+00
1725454830.2845254 8.6448E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454830.4929724 8.6445E-01 1.4083E+00 2.4877E+00 4.0164E+00
1725454830.698861 8.6444E-01 1.4081E+00 2.4945E+00 4.0062E+00
1725454830.9079201 8.6441E-01 1.4081E+00 2.4899E+00 4.0097E+00
