time.time(), c2vavg
1725615876.3366685, -1.6256E+00
1725615876.4645543, -1.6256E+00
1725615876.5990713, -1.6256E+00
1725615876.7237706, -1.6256E+00
1725615876.8616824, -1.6256E+00
1725615876.9953895, -1.6255E+00
1725615877.1263633, -1.6255E+00
1725615877.2626863, -1.6255E+00
1725615877.3928578, -1.6255E+00
1725615877.5257976, -1.6255E+00
1725615877.651638, -1.6255E+00
1725615877.7895803, -1.6255E+00
1725615877.914456, -1.6256E+00
1725615878.0396898, -1.6256E+00
1725615878.1770327, -1.6256E+00
1725615878.301599, -1.6256E+00
1725615878.4392297, -1.6256E+00
1725615878.5639389, -1.6255E+00
1725615878.6888478, -1.6255E+00
1725615878.8117826, -1.6255E+00
1725615878.94343, -1.6255E+00
1725615879.0760982, -1.6255E+00
1725615879.212733, -1.6256E+00
1725615879.3433917, -1.6256E+00
1725615879.478705, -1.6256E+00
1725615879.6035025, -1.6256E+00
1725615879.7414513, -1.6255E+00
1725615879.8866386, -1.6255E+00
1725615880.0204246, -1.6256E+00
1725615880.1576416, -1.6256E+00
1725615880.2849455, -1.6256E+00
1725615880.4094143, -1.6256E+00
1725615880.5473082, -1.6256E+00
1725615880.6759744, -1.6256E+00
1725615880.810651, -1.6256E+00
1725615880.9478514, -1.6256E+00
1725615881.071733, -1.6256E+00
1725615881.196264, -1.6256E+00
1725615881.3209512, -1.6256E+00
1725615881.4485898, -1.6256E+00
1725615881.5845785, -1.6256E+00
1725615881.712533, -1.6255E+00
1725615881.8467362, -1.6255E+00
1725615881.9714851, -1.6255E+00
1725615882.0970223, -1.6255E+00
1725615882.2214975, -1.6255E+00
1725615882.3482263, -1.6256E+00
1725615882.4731264, -1.6256E+00
1725615882.5960763, -1.6256E+00
1725615882.7338452, -1.6255E+00
1725615882.8783982, -1.6255E+00
1725615883.0149844, -1.6255E+00
1725615883.1536264, -1.6255E+00
1725615883.2898047, -1.6255E+00
1725615883.4274175, -1.6255E+00
1725615883.5513065, -1.6255E+00
1725615883.6736662, -1.6255E+00
1725615883.80528, -1.6255E+00
1725615883.9359267, -1.6255E+00
1725615884.0755575, -1.6255E+00
1725615884.209237, -1.6255E+00
1725615884.3422499, -1.6255E+00
1725615884.4748635, -1.6255E+00
1725615884.6022208, -1.6255E+00
1725615884.737528, -1.6255E+00
1725615884.8626761, -1.6255E+00
1725615884.994967, -1.6255E+00
1725615885.129414, -1.6255E+00
1725615885.2542005, -1.6254E+00
1725615885.3780437, -1.6254E+00
1725615885.5030048, -1.6254E+00
1725615885.6282055, -1.6254E+00
1725615885.7533529, -1.6254E+00
1725615885.8772688, -1.6254E+00
1725615886.0096989, -1.6255E+00
1725615886.145364, -1.6255E+00
1725615886.2816439, -1.6255E+00
1725615886.404663, -1.6255E+00
1725615886.5314558, -1.6255E+00
1725615886.666648, -1.6255E+00
1725615886.8025384, -1.6255E+00
1725615886.9316952, -1.6255E+00
1725615887.0670657, -1.6255E+00
1725615887.1927655, -1.6255E+00
1725615887.3173919, -1.6255E+00
