time.time(), c1pp, c2pp
1727776734.1661005, 7.815E+00, 1.993E+01
1727776734.2747812, 7.829E+00, 1.989E+01
1727776734.388587, 7.819E+00, 1.990E+01
1727776734.4976704, 7.828E+00, 1.985E+01
1727776734.6086223, 7.842E+00, 1.996E+01
1727776734.7156959, 7.819E+00, 1.988E+01
1727776734.821953, 7.833E+00, 1.985E+01
1727776734.932012, 7.810E+00, 1.996E+01
1727776735.0419354, 7.824E+00, 1.994E+01
1727776735.1490843, 7.810E+00, 1.994E+01
1727776735.2588072, 7.810E+00, 1.991E+01
1727776735.3658824, 7.819E+00, 1.994E+01
1727776735.4735944, 7.815E+00, 1.994E+01
1727776735.581464, 7.819E+00, 1.991E+01
1727776735.6930287, 7.824E+00, 1.994E+01
1727776735.806476, 7.806E+00, 1.989E+01
1727776735.9155483, 7.815E+00, 1.991E+01
1727776736.0260835, 7.815E+00, 1.993E+01
1727776736.1432989, 7.815E+00, 1.995E+01
1727776736.2497337, 7.810E+00, 1.993E+01
1727776736.357059, 7.806E+00, 1.997E+01
1727776736.4671488, 7.811E+00, 1.994E+01
1727776736.584817, 7.828E+00, 1.991E+01
1727776736.694235, 7.802E+00, 1.993E+01
1727776736.80177, 7.842E+00, 1.988E+01
1727776736.9119914, 7.797E+00, 2.000E+01
1727776737.020925, 7.797E+00, 2.000E+01
1727776737.1286402, 7.819E+00, 1.987E+01
1727776737.2352068, 7.819E+00, 1.986E+01
1727776737.3490088, 7.824E+00, 1.988E+01
1727776737.4591362, 7.819E+00, 1.991E+01
1727776737.5701714, 7.829E+00, 1.987E+01
1727776737.680996, 7.824E+00, 1.989E+01
1727776737.78949, 7.833E+00, 1.995E+01
1727776737.8984888, 7.819E+00, 1.993E+01
1727776738.0068264, 7.815E+00, 1.997E+01
1727776738.116267, 7.815E+00, 1.988E+01
1727776738.2236428, 7.811E+00, 1.990E+01
1727776738.3307438, 7.815E+00, 1.993E+01
1727776738.4374506, 7.824E+00, 1.994E+01
1727776738.5453627, 7.833E+00, 1.991E+01
1727776738.6517274, 7.810E+00, 1.987E+01
1727776738.7594693, 7.815E+00, 1.995E+01
1727776738.8672538, 7.802E+00, 1.994E+01
1727776738.9754734, 7.819E+00, 1.994E+01
1727776739.0829246, 7.806E+00, 1.997E+01
1727776739.1920033, 7.815E+00, 1.989E+01
1727776739.3017008, 7.806E+00, 1.995E+01
1727776739.4088192, 7.824E+00, 1.997E+01
1727776739.517215, 7.824E+00, 1.993E+01
1727776739.626243, 7.815E+00, 1.995E+01
1727776739.7368927, 7.815E+00, 1.989E+01
