time.time(), c1pp, c2pp, c1rms, c2rms
1727862779.939978, 1.544E+01, 1.994E+01, 5.415E+00, 6.933E+00 
1727862780.0546632, 1.544E+01, 1.995E+01, 5.414E+00, 6.934E+00 
1727862780.1672845, 1.544E+01, 1.995E+01, 5.415E+00, 6.932E+00 
1727862780.2799819, 1.543E+01, 1.991E+01, 5.415E+00, 6.934E+00 
1727862780.3951962, 1.544E+01, 1.994E+01, 5.414E+00, 6.936E+00 
1727862780.506897, 1.542E+01, 1.996E+01, 5.414E+00, 6.932E+00 
1727862780.6196887, 1.543E+01, 1.990E+01, 5.415E+00, 6.932E+00 
1727862780.7309895, 1.545E+01, 1.994E+01, 5.415E+00, 6.932E+00 
1727862780.8445628, 1.543E+01, 1.993E+01, 5.415E+00, 6.934E+00 
1727862780.960377, 1.543E+01, 1.997E+01, 5.414E+00, 6.934E+00 
1727862781.0713413, 1.542E+01, 1.991E+01, 5.414E+00, 6.935E+00 
1727862781.1850371, 1.546E+01, 1.993E+01, 5.415E+00, 6.936E+00 
1727862781.296949, 1.544E+01, 1.991E+01, 5.415E+00, 6.934E+00 
1727862781.4105291, 1.545E+01, 1.994E+01, 5.414E+00, 6.935E+00 
1727862781.5228791, 1.544E+01, 1.990E+01, 5.414E+00, 6.935E+00 
1727862781.6363485, 1.542E+01, 1.993E+01, 5.415E+00, 6.934E+00 
1727862781.7514548, 1.542E+01, 1.991E+01, 5.415E+00, 6.934E+00 
1727862781.8737993, 1.544E+01, 1.991E+01, 5.414E+00, 6.934E+00 
1727862781.9865546, 1.542E+01, 1.989E+01, 5.415E+00, 6.934E+00 
1727862782.1012979, 1.545E+01, 1.989E+01, 5.415E+00, 6.933E+00 
1727862782.21403, 1.543E+01, 1.994E+01, 5.414E+00, 6.935E+00 
1727862782.3275702, 1.543E+01, 1.993E+01, 5.415E+00, 6.933E+00 
1727862782.4401453, 1.542E+01, 1.990E+01, 5.415E+00, 6.933E+00 
1727862782.56424, 1.544E+01, 1.993E+01, 5.415E+00, 6.935E+00 
1727862782.678847, 1.543E+01, 1.993E+01, 5.415E+00, 6.935E+00 
1727862782.7904983, 1.543E+01, 1.994E+01, 5.414E+00, 6.934E+00 
1727862782.904326, 1.542E+01, 1.994E+01, 5.415E+00, 6.933E+00 
1727862783.0172632, 1.543E+01, 1.990E+01, 5.415E+00, 6.934E+00 
1727862783.1320481, 1.542E+01, 1.990E+01, 5.415E+00, 6.935E+00 
1727862783.2463176, 1.544E+01, 1.990E+01, 5.415E+00, 6.934E+00 
1727862783.3617165, 1.544E+01, 1.993E+01, 5.415E+00, 6.935E+00 
1727862783.4785237, 1.543E+01, 1.993E+01, 5.414E+00, 6.934E+00 
1727862783.5966802, 1.542E+01, 1.990E+01, 5.414E+00, 6.933E+00 
1727862783.7129061, 1.544E+01, 1.991E+01, 5.414E+00, 6.936E+00 
1727862783.834801, 1.543E+01, 1.991E+01, 5.414E+00, 6.935E+00 
1727862783.945872, 1.543E+01, 1.993E+01, 5.414E+00, 6.933E+00 
1727862784.062887, 1.543E+01, 1.991E+01, 5.414E+00, 6.934E+00 
1727862784.178218, 1.544E+01, 1.990E+01, 5.414E+00, 6.935E+00 
1727862784.2930658, 1.542E+01, 1.989E+01, 5.414E+00, 6.933E+00 
1727862784.4104545, 1.542E+01, 1.994E+01, 5.414E+00, 6.934E+00 
1727862784.522917, 1.542E+01, 1.991E+01, 5.414E+00, 6.932E+00 
1727862784.6399872, 1.543E+01, 1.994E+01, 5.415E+00, 6.934E+00 
1727862784.7518275, 1.542E+01, 1.990E+01, 5.414E+00, 6.935E+00 
1727862784.8648996, 1.545E+01, 1.989E+01, 5.415E+00, 6.935E+00 
1727862784.9790702, 1.542E+01, 1.993E+01, 5.415E+00, 6.934E+00 
1727862785.0925202, 1.544E+01, 1.993E+01, 5.415E+00, 6.934E+00 
1727862785.205322, 1.542E+01, 1.993E+01, 5.415E+00, 6.934E+00 
1727862785.3262422, 1.542E+01, 1.993E+01, 5.414E+00, 6.934E+00 
1727862785.4419112, 1.542E+01, 1.991E+01, 5.414E+00, 6.934E+00 
1727862785.5581465, 1.544E+01, 1.993E+01, 5.414E+00, 6.934E+00 
1727862785.6731744, 1.542E+01, 1.994E+01, 5.414E+00, 6.936E+00 
1727862785.784214, 1.543E+01, 1.993E+01, 5.414E+00, 6.935E+00 
1727862785.9090712, 1.543E+01, 1.989E+01, 5.414E+00, 6.935E+00 
1727862786.0230086, 1.543E+01, 1.993E+01, 5.414E+00, 6.936E+00 
1727862786.1453698, 1.544E+01, 1.998E+01, 5.414E+00, 6.935E+00 
1727862786.2571926, 1.545E+01, 1.989E+01, 5.414E+00, 6.934E+00 
1727862786.371435, 1.543E+01, 1.991E+01, 5.414E+00, 6.933E+00 
1727862786.4912558, 1.543E+01, 1.993E+01, 5.415E+00, 6.936E+00 
1727862786.6034222, 1.544E+01, 1.993E+01, 5.415E+00, 6.933E+00 
1727862786.7199214, 1.544E+01, 1.989E+01, 5.415E+00, 6.935E+00 
1727862786.8360415, 1.542E+01, 1.990E+01, 5.414E+00, 6.936E+00 
1727862786.9480624, 1.543E+01, 1.993E+01, 5.415E+00, 6.935E+00 
1727862787.062783, 1.542E+01, 1.994E+01, 5.414E+00, 6.935E+00 
1727862787.1776063, 1.544E+01, 1.991E+01, 5.414E+00, 6.934E+00 
1727862787.2934673, 1.543E+01, 1.993E+01, 5.414E+00, 6.935E+00 
1727862787.4147484, 1.543E+01, 1.994E+01, 5.414E+00, 6.934E+00 
1727862787.528875, 1.545E+01, 1.993E+01, 5.414E+00, 6.933E+00 
1727862787.6585295, 1.544E+01, 1.995E+01, 5.415E+00, 6.935E+00 
1727862787.7722583, 1.543E+01, 1.991E+01, 5.414E+00, 6.934E+00 
1727862787.8879972, 1.542E+01, 1.993E+01, 5.415E+00, 6.935E+00 
1727862788.0074914, 1.545E+01, 1.991E+01, 5.415E+00, 6.936E+00 
1727862788.1211545, 1.544E+01, 1.990E+01, 5.414E+00, 6.933E+00 
1727862788.2364733, 1.543E+01, 1.988E+01, 5.414E+00, 6.933E+00 
1727862788.3528066, 1.543E+01, 1.993E+01, 5.414E+00, 6.935E+00 
1727862788.464139, 1.544E+01, 1.993E+01, 5.414E+00, 6.934E+00 
1727862788.5819535, 1.542E+01, 1.991E+01, 5.414E+00, 6.937E+00 
1727862788.7056208, 1.546E+01, 1.991E+01, 5.414E+00, 6.934E+00 
1727862788.8185923, 1.543E+01, 1.993E+01, 5.414E+00, 6.936E+00 
1727862788.9363375, 1.544E+01, 1.991E+01, 5.414E+00, 6.935E+00 
1727862789.0536666, 1.545E+01, 1.989E+01, 5.415E+00, 6.934E+00 
1727862789.1675916, 1.543E+01, 1.993E+01, 5.414E+00, 6.934E+00 
1727862789.2811775, 1.544E+01, 1.995E+01, 5.414E+00, 6.936E+00 
1727862789.3939877, 1.542E+01, 1.996E+01, 5.414E+00, 6.934E+00 
1727862789.50972, 1.544E+01, 1.991E+01, 5.414E+00, 6.933E+00 
1727862789.6263213, 1.544E+01, 1.990E+01, 5.414E+00, 6.936E+00 
1727862789.7397425, 1.543E+01, 1.991E+01, 5.415E+00, 6.934E+00 
1727862789.8552291, 1.543E+01, 1.991E+01, 5.415E+00, 6.933E+00 
1727862789.971391, 1.544E+01, 1.991E+01, 5.415E+00, 6.934E+00 
1727862790.0893805, 1.543E+01, 1.995E+01, 5.415E+00, 6.937E+00 
1727862790.2029517, 1.544E+01, 1.990E+01, 5.414E+00, 6.934E+00 
1727862790.3243947, 1.543E+01, 1.991E+01, 5.415E+00, 6.936E+00 
1727862790.4517136, 1.542E+01, 1.993E+01, 5.414E+00, 6.936E+00 
1727862790.5683322, 1.543E+01, 1.993E+01, 5.414E+00, 6.935E+00 
1727862790.6913612, 1.543E+01, 1.991E+01, 5.414E+00, 6.933E+00 
1727862790.8095899, 1.544E+01, 1.995E+01, 5.414E+00, 6.934E+00 
1727862790.9222515, 1.543E+01, 1.990E+01, 5.414E+00, 6.937E+00 
1727862791.0346234, 1.543E+01, 1.995E+01, 5.414E+00, 6.936E+00 
1727862791.1514065, 1.542E+01, 1.991E+01, 5.415E+00, 6.935E+00 
1727862791.2658763, 1.543E+01, 1.994E+01, 5.414E+00, 6.934E+00 
1727862791.3832073, 1.544E+01, 1.996E+01, 5.415E+00, 6.933E+00 
1727862791.499538, 1.543E+01, 1.991E+01, 5.414E+00, 6.934E+00 
