Resto format 1
Doc: "ToF_28_02_2025_Looking_Nice.setup"
Upload time: 28/2-2025 15:27
Description: ""
Sequence: "Free selection"
ClusterName	SurName	Datatype	Value	Valid	Timestamp
CRIO106TIM11qopt	delay2Scaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	DelayMs	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	delayNsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	DelayS	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	delayScaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	pulses	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	pulses2	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	trig	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	trigR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	width	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	width2	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	arm	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	armR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	ctrl	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	ctrlR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	delay	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	delay2	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	Delay2Ms	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	delay2NsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	Delay2S	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	delay2Scaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	DelayMs	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	delayNsLim	12	10000	1	'26/02-25 15:19:19/'
