countA, countB, T, UDC, VRF
23V, 8.6*1e-6<built-in method now of type object at 0x00007FF8D81B3AB0>VOcto = 45V
300,0, 1112.968799829483, -4.5, 417
300,1, 1113.2621583938599, -4.5, 417
300,1, 1113.5575716495514, -4.0, 417
300,1, 1113.8551156520844, -4.0, 417
300,5, 1114.153455734253, -3.5, 417
300,5, 1114.4485557079315, -3.5, 417
300,11, 1114.7441701889038, -3.0, 417
299,12, 1115.0410416126251, -3.0, 417
300,21, 1115.335488319397, -2.5, 417
299,21, 1115.631426334381, -2.5, 417
300,25, 1115.928776025772, -2.0, 417
300,32, 1116.2227711677551, -2.0, 417
300,32, 1116.51797580719, -1.5, 417
300,25, 1116.8135311603546, -1.5, 417
300,34, 1117.1104497909546, -1.0, 417
300,34, 1117.407654285431, -1.0, 417
300,45, 1117.7040004730225, -0.5, 417
300,40, 1117.9982011318207, -0.5, 417
300,35, 1118.29172873497, 0.0, 417
300,31, 1118.5869543552399, 0.0, 417
300,34, 1118.8830626010895, 0.5, 417
300,28, 1119.179536819458, 0.5, 417
300,37, 1119.4761254787445, 1.0, 417
300,38, 1119.7716538906097, 1.0, 417
300,37, 1120.0677468776703, 1.5, 417
300,32, 1120.3634757995605, 1.5, 417
300,37, 1120.658915758133, 2.0, 417
300,39, 1120.953360080719, 2.0, 417
300,37, 1121.2514748573303, 2.5, 417
300,38, 1121.543879032135, 2.5, 417
299,33, 1121.8391163349152, 3.0, 417
300,37, 1122.1349067687988, 3.0, 417
299,47, 1122.4321756362915, 3.5, 417
300,37, 1122.7312996387482, 3.5, 417
300,41, 1123.0274693965912, 4.0, 417
300,33, 1123.323430299759, 4.0, 417
300,38, 1123.6185932159424, 4.5, 417
300,33, 1123.9127197265625, 4.5, 417
300,31, 1124.2094943523407, 4.5, 417
300,36, 1124.5059757232666, 4.5, 417
300,43, 1124.802050113678, 4.0, 417
300,39, 1125.097583770752, 4.0, 417
300,39, 1125.3916356563568, 3.5, 417
300,33, 1125.6852395534515, 3.5, 417
300,35, 1125.9806077480316, 3.0, 417
300,50, 1126.2794163227081, 3.0, 417
300,38, 1126.5743460655212, 2.5, 417
300,34, 1126.870450258255, 2.5, 417
300,37, 1127.165555715561, 2.0, 417
300,36, 1127.4651045799255, 2.0, 417
300,37, 1127.7625679969788, 1.5, 417
299,29, 1128.0573921203613, 1.5, 417
300,35, 1128.354201078415, 1.0, 417
299,39, 1128.648627281189, 1.0, 417
300,41, 1128.9453904628754, 0.5, 417
300,31, 1129.242892742157, 0.5, 417
300,39, 1129.539099931717, 0.0, 417
300,31, 1129.835120677948, 0.0, 417
300,36, 1130.1299526691437, -0.5, 417
300,34, 1130.4268734455109, -0.5, 417
300,31, 1130.7234675884247, -1.0, 417
300,35, 1131.019674539566, -1.0, 417
300,35, 1131.317354440689, -1.5, 417
300,22, 1131.6141357421875, -1.5, 417
299,23, 1131.9097895622253, -2.0, 417
300,14, 1132.2045497894287, -2.0, 417
303,20, 1132.502121925354, -2.5, 417
300,20, 1132.7984552383423, -2.5, 417
300,22, 1133.0950543880463, -3.0, 417
300,13, 1133.3883392810822, -3.0, 417
300,13, 1133.6840181350708, -3.5, 417
300,2, 1133.9768359661102, -3.5, 417
