countA, countB, T
300,12, 259.1970591545105
300,20, 260.2856180667877
300,15, 261.38250041007996
300,13, 262.48067474365234
301,15, 263.5714330673218
300,10, 264.6595561504364
300,10, 265.75377130508423
300,11, 266.84248089790344
300,9, 267.9396016597748
300,7, 269.0332851409912
300,8, 270.1315450668335
300,13, 271.22609090805054
301,13, 272.32136964797974
300,4, 273.40684700012207
300,6, 274.49326252937317
300,14, 275.5879192352295
300,8, 276.6850936412811
300,21, 277.7790629863739
300,11, 278.87560534477234
300,10, 279.9717764854431
301,10, 281.0670838356018
301,7, 282.1637418270111
300,15, 283.25621795654297
300,10, 284.3563697338104
300,8, 285.4407560825348
300,10, 286.53459119796753
300,9, 287.62921142578125
300,14, 288.72137808799744
301,7, 289.812552690506
301,14, 290.90880966186523
300,8, 291.9983892440796
300,16, 293.09141302108765
300,10, 294.18474102020264
300,9, 295.27540349960327
300,12, 296.3678741455078
300,11, 297.46045422554016
300,9, 298.5527844429016
300,14, 299.6448714733124
300,7, 300.73618721961975
300,10, 301.82628321647644
300,11, 302.92077445983887
300,19, 304.0147099494934
300,12, 305.1078383922577
300,12, 306.2019827365875
300,6, 307.30004358291626
300,8, 308.39299392700195
301,11, 309.4874382019043
300,9, 310.57589077949524
300,13, 311.6715567111969
300,7, 312.7581419944763
300,9, 313.8422257900238
300,13, 314.9391596317291
300,4, 316.03365206718445
300,5, 317.1290991306305
301,12, 318.2262382507324
300,11, 319.3223788738251
300,20, 320.4210915565491
300,7, 321.51776242256165
300,11, 322.61651587486267
300,13, 323.71131706237793
300,5, 324.8046381473541
300,10, 325.8973937034607
301,9, 326.99516320228577
301,10, 328.08821535110474
300,13, 329.18309712409973
300,11, 330.27677488327026
300,13, 331.37139081954956
300,13, 332.46585035324097
300,14, 333.558137178421
300,10, 334.6490523815155
301,8, 335.74575090408325
301,9, 336.8398163318634
300,9, 337.9317572116852
300,9, 339.02642917633057
300,11, 340.1220588684082
300,14, 341.2148733139038
300,8, 342.3105249404907
300,12, 343.3978650569916
300,16, 344.4834702014923
300,12, 345.58011293411255
301,19, 346.67110776901245
300,14, 347.766535282135
300,7, 348.8642337322235
300,7, 349.96031522750854
300,7, 351.04892563819885
300,12, 352.1446418762207
300,14, 353.23841762542725
300,12, 354.3344178199768
301,7, 355.42462968826294
300,8, 356.51630544662476
300,13, 357.60863733291626
300,5, 358.70134806632996
300,11, 359.7991704940796
300,7, 360.8949625492096
300,10, 361.98777055740356
300,15, 363.0817723274231
301,13, 364.17375016212463
301,10, 365.26830792427063
300,11, 366.3601050376892
300,10, 367.4557418823242
300,7, 368.5504050254822
300,6, 369.6443221569061
300,10, 370.7374930381775
300,14, 371.8307240009308
301,11, 372.9228410720825
301,9, 374.01958656311035
300,8, 375.11265754699707
300,14, 376.2029469013214
300,12, 377.29218888282776
300,7, 378.38801097869873
300,7, 379.48022174835205
300,5, 380.5728349685669
300,18, 381.66985154151917
301,12, 382.7636330127716
300,12, 383.8576169013977
300,6, 384.9519696235657
300,11, 386.0449504852295
300,8, 387.1404800415039
300,6, 388.2391138076782
300,14, 389.3329064846039
300,13, 390.4278984069824
301,15, 391.5177230834961
301,16, 392.6093325614929
300,11, 393.70022678375244
300,11, 394.7933180332184
300,7, 395.8850893974304
300,10, 396.97399401664734
300,14, 398.06032633781433
300,10, 399.15773701667786
300,12, 400.2569103240967
301,11, 401.34991693496704
300,6, 402.4486789703369
300,12, 403.5457890033722
300,13, 404.64222502708435
300,9, 405.7344825267792
300,11, 406.82510018348694
300,13, 407.91775393486023
300,12, 409.0053594112396
301,17, 410.0914680957794
300,10, 411.18719148635864
300,10, 412.27411913871765
300,8, 413.36710953712463
300,8, 414.45858573913574
300,6, 415.5505676269531
300,19, 416.6444363594055
300,14, 417.73175144195557
301,7, 418.82412672042847
301,11, 419.91524839401245
300,13, 421.0085084438324
300,6, 422.09605526924133
300,10, 423.1913592815399
300,8, 424.28427743911743
300,19, 425.3796179294586
300,12, 426.47111916542053
300,13, 427.5645589828491
300,10, 428.6568033695221
300,9, 429.7480387687683
300,10, 430.8379008769989
300,10, 431.93051314353943
300,11, 433.0233426094055
300,18, 434.1162359714508
300,13, 435.20913457870483
300,12, 436.3034327030182
300,9, 437.3984098434448
301,8, 438.490416765213
300,9, 439.58377838134766
300,9, 440.67799401283264
300,16, 441.7756516933441
300,20, 442.8697919845581
300,12, 443.96178817749023
300,12, 445.05210161209106
300,9, 446.1447341442108
301,13, 447.237708568573
300,17, 448.3334367275238
300,2, 449.4255907535553
300,8, 450.5171844959259
300,10, 451.6109890937805
300,12, 452.7034361362457
300,13, 453.7937698364258
300,9, 454.88474678993225
301,13, 455.97766065597534
301,10, 457.0690338611603
300,3, 458.16113471984863
300,10, 459.25382566452026
300,15, 460.34695291519165
300,14, 461.44346857070923
300,9, 462.53859066963196
300,11, 463.6296181678772
300,10, 464.7189588546753
301,7, 465.8142788410187
301,8, 466.908358335495
300,11, 468.00420022010803
300,10, 469.09501481056213
300,11, 470.1904022693634
300,15, 471.2831690311432
300,11, 472.3744285106659
300,7, 473.46733260154724
300,14, 474.56460785865784
301,8, 475.65469002723694
300,16, 476.7486619949341
300,10, 477.8415336608887
300,11, 478.9343452453613
300,16, 480.0275092124939
300,12, 481.1190047264099
300,8, 482.21074056625366
300,8, 483.30525517463684
300,4, 484.4011266231537
301,11, 485.49333477020264
300,8, 486.5860242843628
300,9, 487.6787779331207
300,13, 488.7706446647644
300,8, 489.86774706840515
300,7, 490.9624147415161
300,6, 492.05416202545166
300,8, 493.1470923423767
300,12, 494.24233651161194
301,8, 495.33588218688965
300,14, 496.42609429359436
300,8, 497.5231297016144
300,12, 498.61774802207947
300,12, 499.71246337890625
300,22, 500.80496525764465
300,8, 501.89636182785034
300,13, 502.99311113357544
300,9, 504.08515334129333
301,12, 505.1807017326355
300,15, 506.2756950855255
300,14, 507.3671498298645
300,12, 508.4594395160675
300,17, 509.5529384613037
300,8, 510.64642786979675
300,12, 511.74028873443604
300,15, 512.8315031528473
301,12, 513.9225068092346
300,12, 515.0178232192993
300,20, 516.109867811203
300,8, 517.1997981071472
300,10, 518.2932975292206
300,6, 519.3877327442169
300,7, 520.478132724762
300,10, 521.5769159793854
300,11, 522.6651496887207
301,13, 523.7637419700623
300,13, 524.862359046936
300,14, 525.9593501091003
300,11, 527.0556502342224
